clone_materializer_reference_count,descriptor_count,descriptor_preview_count,descriptor_preview_truncated_count,function_end_va,function_start_va,sample_descriptors,sample_rtti_names,sample_setup_refs,setup_reference_count
0,1,1,0,0x1401781fa,0x1401781a0,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x1401781a6,1
0,1,1,0,0x14017825a,0x140178200,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178206,1
0,1,1,0,0x1401782ba,0x140178260,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178266,1
0,1,1,0,0x14017831a,0x1401782c0,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x1401782c6,1
0,1,1,0,0x14017837a,0x140178320,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178326,1
0,1,1,0,0x1401783da,0x140178380,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178386,1
0,1,1,0,0x14017843a,0x1401783e0,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x1401783e6,1
0,1,1,0,0x14017849a,0x140178440,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178446,1
0,1,1,0,0x1401784fa,0x1401784a0,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x1401784a6,1
0,1,1,0,0x14017855a,0x140178500,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178506,1
1,1,1,0,0x1401885c6,0x140188510,0x140b6c748,.?AV<lambda_e1693456ed8599dfea9a8799d9ead673>@@,0x140188526,1
1,1,1,0,0x1401a9a48,0x1401a9790,0x140b6c6b8,.?AV<lambda_6d2c057af7dd162816dec3c562fef186>@@,0x1401a995c,1
